Characteristic,Sex,Race/ethnicity,Year,Percentage,Count,Margin of Error on Percentages (for standard error divide by 1.645),Note
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2003,20.3,3453,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2004,20.3,3515,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2005,22.2,3856,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2006,21.7,3760,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2007,18.8,3282,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2008,18.8,3288,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2009,20.4,3619,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2010,20.6,3652,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2011,19.1,3255,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2012,19.3,3274,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2013,19.6,3268,0.8,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2014,20.8,3477,1.4,
"Total - All other living arrangements, White-alone, non-Hispanic",,"White-alone, non-Hispanic",2015,19.7,3243,0.9,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2001,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2002,,,,"For data before 2003, the 1977 Office of Management and Budget (OMB) standards for data on race and ethnicity were used to classify persons into one of the following four racial groups: White, Black, American Indian or Alaskan Native, or Asian or Pacific Islander. The revised 1997 OMB standards on race and ethnicity were used for data from 2003 and later years. Under these standards, persons could select one or more of five racial groups: White, Black or African American, American Indian or Alaska Native, Asian, or Native Hawaiian or Other Pacific Islander. Those reporting more than one race were classified as ?Two or more races.? For 2003 and after, when separate reporting was possible, respondents who reported being Asian or Native Hawaiian or Other Pacific Islander were combined for continuity purposes. Also, beginning in 2003, those in a given racial category represent those reporting only that race. Data from 2003 onward are not directly comparable with data from earlier years. Data on race and Hispanic ethnicity are collected separately. Persons of Hispanic ethnicity may be of any race. Not available."
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2003,100,8549,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2004,100,8797,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2005,100,8706,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2006,100,8728,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2007,100,8815,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2008,100,8897,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2009,100,8973,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2010,100,8973,,
"Total - Male, White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",2011,100,8525,,
